smiles,carcino,dili,genotox
C=CCOc1ccccc1OCC(O)CNC(C)C,0.0,0.0,1.0
CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,0.0,1.0,0.0
CCCCCCCCCCC(C)c1ccc(S(=O)(=O)O)cc1,0.0,,
Cc1cc(O)ccc1O,0.0,,
CC(C)OC(=O)Nc1cccc(Cl)c1,0.0,,
Cc1cc(Cl)ccc1N,0.0,,
O=[N+]([O-])c1ccc(Cl)cc1,0.0,,
Cc1ccc(N)c(C)c1,0.0,,
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,0.0,,
Cc1ccc(NC(N)=O)cc1,0.0,,
Cc1ccc([N+](=O)[O-])cc1N,0.0,,
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,0.0,,0.0
CCOC(=O)c1ccccc1C(=O)OCC,0.0,,
CN(C)c1ccc(N=NS(=O)(=O)O)cc1,0.0,,
NC(=S)Nc1ccccc1,0.0,,
Nc1c(F)c(N)c(F)c(F)c1F,0.0,,
COc1ccc(N)c(OC)c1,0.0,,0.0
Oc1cccc(O)c1,0.0,,1.0
CN(N=O)C(=O)c1ccccc1C(=O)N(C)N=O,0.0,,
S=C=NCCCc1ccccc1,0.0,,
Nc1ccc(NCCO)c([N+](=O)[O-])c1,0.0,,
CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.0,1.0,
Oc1ccc(Cl)cc1Cl,0.0,,
CC(C)(C)c1cc(CO)cc(C(C)(C)C)c1O,0.0,,
Nc1cc(Cl)c(N)c(Cl)c1,0.0,,0.0
Nc1cc(Cl)cc(C(=O)O)c1Cl,0.0,,
O=Cc1ccccc1,0.0,,
Nc1ccc(N)c([N+](=O)[O-])c1,0.0,,
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,0.0,,0.0
N=C(N)NC(=N)NCCc1ccccc1,0.0,,
Cc1ccc(O)c(C(C)(C)C)c1,0.0,,
O=C(CCl)c1ccccc1,0.0,,
Nc1ccc(N(CCO)CCO)cc1,0.0,,
Oc1ccccc1,0.0,1.0,1.0
S=C=NCCc1ccccc1,0.0,,
N#CC(C#N)=Cc1ccccc1Cl,0.0,,
Cc1cccc(N)c1,0.0,,
C=Cc1ccc(C)cc1,0.0,,
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0.0,,1.0
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,0.0,1.0,
C=Cc1cccc(C)c1,0.0,,1.0
ClCc1ccccc1,0.0,,
O=CC=Cc1ccccc1,0.0,,0.0
CNC(C)C(O)c1ccccc1,0.0,0.0,
CC(N)Cc1ccccc1,0.0,0.0,1.0
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,0.0,,
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.0,,
O=C(O)c1cc(O)c(O)c(O)c1,0.0,,
S=C=NCc1ccccc1,0.0,,
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.0,1.0,
Nc1ccc(N)c(Cl)c1,0.0,,
O=[N+]([O-])c1cc(N(CCO)CCO)ccc1NCCO,0.0,,
CCN(CC)C(=O)c1cccc(C)c1,0.0,0.0,
CC(=O)Nc1ccc(CC(=O)O)cc1,0.0,,
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,0.0,,
Nc1c(Cl)cc(Cl)cc1Cl,0.0,,
NC(=O)c1ccccc1C(N)=O,0.0,,
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.0,1.0,0.0
Cc1cc(N)ccc1N,0.0,,
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,0.0,1.0,
O=C(O)COc1ccc(Cl)cc1Cl,0.0,,
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.0,,
O=[N+]([O-])C=Cc1ccccc1,0.0,,
O=[N+]([O-])c1ccc(NCCO)c(OCCO)c1,0.0,,
COP(=S)(OC)Oc1ccc(SC)c(C)c1,0.0,,
Cc1cc(C)cc(S(=O)(=O)O)c1,0.0,,
CC(C)(C)c1ccc(O)cc1,0.0,,
C=CCOC(=O)c1ccccc1C(=O)OCC=C,0.0,,0.0
CC(=O)OCc1ccccc1,0.0,,0.0
Nc1ccc([N+](=O)[O-])cc1N,0.0,,
Clc1ccccc1Cl,0.0,,0.0
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,0.0,1.0,1.0
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,0.0,,
Cc1c(N)cccc1N,0.0,,1.0
Cc1ccc(N)cc1Cl,0.0,,
C=CCc1ccc(O)c(OC)c1,0.0,,0.0
CC=Cc1ccc(OC)cc1,0.0,,
ClC(Cl)=C(Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.0,,
Nc1ccccc1C(=O)O,0.0,,
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,0.0,,
Cc1ccc(N)cc1,0.0,,
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,0.0,,
CNCC(O)c1cccc(O)c1,0.0,1.0,
Nc1ccc([N+](=O)[O-])cc1,0.0,,0.0
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0.0,,
Nc1cc([N+](=O)[O-])ccc1C(=O)O,0.0,,
Cc1cccc(C)c1N,0.0,,
CCOc1ccc(NC(C)=O)cc1[N+](=O)[O-],0.0,,
S=C=NCCCCCCc1ccccc1,0.0,,
CC(=O)Nc1ccc(C(=O)CCl)cc1,0.0,,
NCCc1ccc(O)c(O)c1,0.0,,0.0
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,0.0,,
CNCCc1ccc(OC(=O)C(C)C)c(OC(=O)C(C)C)c1,0.0,,
CCCCCCc1ccc(O)cc1O,0.0,,1.0
Cc1cc(Cl)ccc1OCC(=O)O,0.0,,
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0.0,0.0,
COC(=O)c1ccc(C(=O)OC)cc1,0.0,,
O=C(O)c1ccccc1,0.0,0.0,
Cc1ccc(Cl)cc1N,0.0,,
NC(Cc1ccc(O)c(O)c1)C(=O)O,0.0,,
OCc1ccccc1,0.0,,0.0
Nc1cccc(N)c1,0.0,,
Nc1ccc(O)c(N)c1,0.0,,
CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OS(C)(=O)=O,0.0,,
CCOc1ccc(NC(C)=O)cc1N,0.0,,
CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,0.0,,
O=C(O)c1ccc(O)c(O)c1,0.0,,
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0.0,0.0,0.0
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],0.0,,
CCCOC(=O)c1cc(O)c(O)c(O)c1,0.0,,1.0
CCCCCC(N)=O,0.0,,
CC(C)C=O,0.0,,0.0
CCN(CC)C(=S)SSC(=S)N(CC)CC,0.0,1.0,
COP(=S)(OC)SCCNC(C)=O,0.0,,
CC(=O)CN(N=O)C(N)=O,0.0,,
CCCCCCCCCCCCCCCC(=O)CC(=O)CCCCCCCCCCCCCCC,0.0,,
NC(CC(=O)O)C(=O)O,0.0,,0.0
C=CC(=O)NCO,0.0,,0.0
CCCCNC(N)=O,0.0,,
CS(=O)(=O)OCCCCOS(C)(=O)=O,0.0,1.0,1.0
CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,0.0,,
CC(C)(CO)CCCCCCC(C)(C)CO,0.0,,
CC(O)CO,0.0,,0.0
OC[P+](CO)(CO)CO,0.0,,0.0
OCC(O)C(O)C(O)C(O)CO,0.0,0.0,0.0
CSCCC(N)C(=O)O,0.0,,
CC(C)[N+](=O)[O-],0.0,,
CCCCN(N=O)C(N)=N[N+](=O)[O-],0.0,,
CC(=O)N(C)C,0.0,,
CC(O)COC(C)(C)C,0.0,,1.0
OCCN(CCO)CCO,0.0,,
CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,0.0,,0.0
NC(=O)CCCCC(N)=O,0.0,,
C=C(C)C#N,0.0,,0.0
CC(=O)OCC=C(C)CCC=C(C)C,0.0,,0.0
CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(C)Cl,0.0,,
CCOC(=O)C=CC(=O)OCC,0.0,,
CCC(CC)C(=O)NC(N)=O,0.0,,
CCC[N+](=O)[O-],0.0,,
C[N+](C)(C)CCCl,0.0,,
CC(O)C(=O)O,0.0,,
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,0.0,0.0,1.0
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.0,0.0,1.0
O=C(O)CCC(=O)O,0.0,,
C=CC=NO,0.0,,
CC(Cl)CCl,0.0,,
O=C(O)CC(O)(CC(=O)O)C(=O)O,0.0,0.0,
CC(=O)CN(N=O)C(=O)NCCCl,0.0,,
CN(C)C(=S)SSC(=S)N(C)C,0.0,,1.0
CNC(=O)ON=C(SC)C(=O)N(C)C,0.0,,
CCN(CC)C(=S)S,0.0,0.0,
CC(O)CNCC(C)O,0.0,,
C=CC(OCC)OCC,0.0,,
CNC(=O)CSP(=S)(OC)OC,0.0,,1.0
CCCCC(CC)COS(=O)(=O)O,0.0,,
OC(CNCCCl)C(O)C(O)C(O)CNCCCl,0.0,,
CCCC[N+](=O)[O-],0.0,,1.0
O=C(O)CNCC(=O)O,0.0,,
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,0.0,0.0,0.0
C=CC(=O)O,0.0,,
C[N+](C)(C)CCO,0.0,,
CCCCCN(N=O)C(N)=N[N+](=O)[O-],0.0,,
CCC(Br)(CC)C(=O)NC(N)=O,0.0,,
CCCCOCCO,0.0,,0.0
CC(=O)NC(CS)C(=O)O,0.0,,0.0
CC(CCl)OC(C)CCl,0.0,,
CNC(=O)ON=CC(C)(C)SC,0.0,,
CCC(O)OC(O)CC,0.0,,
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,0.0,,0.0
CC(O)CN(CC(C)O)CC(C)O,0.0,,
NCCCCCC(=O)O,0.0,0.0,
CC(C)CN(N=O)C(N)=N[N+](=O)[O-],0.0,,
OCC(O)CCl,0.0,,
CCN(C=O)CC,0.0,,
O=CCCCC=O,0.0,,0.0
CCCCCCCCCCCC[N+](C)(C)[O-],0.0,,
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],0.0,,
CCSCC(N)C(=O)O,0.0,,
CCCCCl,0.0,,
CNC(=S)NC,0.0,,
NCCCC(N)(C(=O)O)C(F)F,0.0,0.0,
CCCCCC,0.0,,0.0
C=C(C)C(=O)OC,0.0,,
O=C(O)CC[N+](=O)[O-],0.0,,
NC(CCC(=O)O)C(=O)O,0.0,0.0,
CCCCCCCN,0.0,,
CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,0.0,,
CC=CC=CC(=O)O,0.0,,1.0
CC(C)=CCCC(C)=CC=O,0.0,,0.0
CCCCCC=CCC=CCCCCCCCC(=O)OC,0.0,,
COP(=O)(OC)OC,0.0,,1.0
CCCCCC(C=CC=CCCCCCCCC(=O)OC)OO,0.0,,
O=NN(CC(=O)O)CC(=O)O,0.0,,
NC(CS)C(=O)O,0.0,,0.0
CCCCC(CC)CO,0.0,,0.0
O=NN(CC(F)(F)F)CC(F)(F)F,0.0,,
CC(O)CCl,0.0,,0.0
OCCNCCO,0.0,,
OCCOCCOCCO,0.0,,
CN(C)C=O,0.0,,
ClCCOCCCl,0.0,,
CCCCCCCCC=CCCCCCCCC(=O)O,0.0,0.0,
CCCCCCCCCC[N+](C)(C)[O-],0.0,,
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,0.0,,
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,0.0,,
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,0.0,,
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0.0,,0.0
Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,0.0,,
Oc1ccc(Cl)cc1Cc1ccccc1,0.0,,
CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,0.0,,
CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.0,,
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,0.0,,0.0
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,0.0,,
CN(C)CCOC(c1ccccc1)c1ccccc1,0.0,0.0,
Nc1ccc(-c2ccccc2)cc1O,0.0,,
Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br,0.0,,
Nc1ccccc1-c1ccccc1,0.0,,0.0
CC(C)(OCc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)O,0.0,,
CC(=O)Nc1ccc(-c2ccccc2)cc1O,0.0,,
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,0.0,,
Nc1cc(Cl)c(-c2cc(Cl)c(N)cc2Cl)cc1Cl,0.0,,
CCc1cc(C(N)=S)ccn1,0.0,1.0,
CN(N=O)c1ccncc1,0.0,,
CN(N=O)c1cccnc1,0.0,,
ClCc1ccccn1,0.0,,0.0
Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,0.0,,
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,0.0,,
Cc1cccc2cccnc12,0.0,,
Cc1ccc2ncccc2c1,0.0,,
Oc1cccc2cccnc12,0.0,1.0,0.0
O=[N+]([O-])c1ccc2ncccc2c1,0.0,,
Brc1cc(Br)c2cccnc2c1,0.0,,
OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,0.0,1.0,
O=S(=O)(O)NC1CCCCC1,0.0,,
CC1CCC(C(C)C)C(O)C1,0.0,,0.0
NC1CCCCC1,0.0,,
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.0,,
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,0.0,,0.0
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,0.0,0.0,
O=C1C(O)N=C(c2ccccc2F)c2cc(Cl)ccc2N1CCO,0.0,,
O=C1CC(=O)NC(=O)N1,0.0,,
CC1(C)C(=O)NC(=O)NC1=O,0.0,,
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0.0,0.0,
O=C1OC(C(O)CO)C(O)=C1O,0.0,,
CCCCCCCCCCCCC(=O)COC1=C(O)C(=O)OC1C(O)CO,0.0,,
CCOC1=C(O)C(=O)OC1C(O)CO,0.0,,
NC(=O)NN=Cc1ccco1,0.0,,
CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1,0.0,,
NC(=NO)c1ccc([N+](=O)[O-])o1,0.0,,
CN=C(NC#N)NCCSCc1nc[nH]c1C,0.0,1.0,
NC(Cc1cnc[nH]1)C(=O)O,0.0,,
Cc1[nH]cnc1CSCCN=C(NC#N)N(C)N=O,0.0,,
CC(C)NCC(O)COc1cccc2ccccc12,0.0,,1.0
NCCNc1cccc2ccccc12,0.0,,
O=[N+]([O-])c1cccc2ccccc12,0.0,,
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,0.0,1.0,0.0
CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,0.0,1.0,0.0
Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.0,,0.0
Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.0,0.0,1.0
CC(=O)Nc1cccc2c1-c1ccccc1C2,0.0,,
CC(=O)Nc1cccc2c1Cc1ccccc1-2,0.0,,
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,0.0,1.0,
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3C(O)C12,0.0,0.0,
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,0.0,,
c1ccc2c(c1)Oc1ccccc1O2,0.0,,
O=S(=O)(O)c1ccc(N=Nc2c(O)ccc3cc(S(=O)(=O)O)ccc23)cc1,0.0,,0.0
O=S(=O)(O)c1cc(S(=O)(=O)O)c2c(N=Nc3ccccc3)c(O)ccc2c1,0.0,,0.0
O=CC1CO1,0.0,,
C=CCOCC1CO1,0.0,,0.0
CN1C(=O)OC(C)(C)C1=O,0.0,,
CC1(C)OC(=O)NC1=O,0.0,,
Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,0.0,,
Clc1ccc(Sc2cc(Cl)c(Cl)cc2Cl)cc1,0.0,,
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0.0,,
CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0.0,0.0,
CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1,0.0,,
COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl,0.0,,
O=c1[nH]cc(F)c(=O)[nH]1,0.0,,
O=C(O)c1cc(=O)[nH]c(=O)[nH]1,0.0,0.0,
COC(=O)C(c1ccccc1)C1CCCCN1,0.0,,
COC(=O)C(c1ccccc1)C1CCCCN1N=O,0.0,,
O=NN1CCCCC1C(=O)O,0.0,,
C1CCNCC1,0.0,,
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)O)c3)C=C2)c2ccccc2S(=O)(=O)[O-])cc1,0.0,,
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)O)c3)C=C2)c2ccc(O)cc2S(=O)(=O)[O-])cc1,0.0,,1.0
COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,0.0,,
CN(C)CCOc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1,0.0,1.0,
CCCCCCCC[S+]([O-])C(C)Cc1ccc2c(c1)OCO2,0.0,,
C=CC(=O)c1ccc2c(c1)OCO2,0.0,,
Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1,0.0,,
Nc1nc(N)nc(-c2ccccc2)n1,0.0,,
O=C1C=Cc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c2C1=NNc1ccccc1,0.0,,0.0
O=C1C=Cc2cc(S(=O)(=O)O)ccc2C1=NNc1ccc(S(=O)(=O)O)cc1,0.0,,0.0
O=NN1CC(O)CC1C(=O)O,0.0,,
O=NN1CCCC1C(=O)O,0.0,,
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0.0,,0.0
O=C1c2ccccc2-c2ccc3c4c(ccc1c24)-c1ccccc1C3=O,0.0,,
O=C1C=C2C(=CCOC2O)O1,0.0,,
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,0.0,1.0,0.0
O=C1CCN(C2OC(CO)C(O)C2O)C(=O)N1,0.0,,
CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,0.0,,
OCCN(CCO)c1nc(-c2cccs2)nc2ccccc12,0.0,,
C1OC1C1CO1,0.0,,1.0
CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,0.0,,
C=CC1=C(C)C2=CC3=NC(=C(CC(=O)O)C4=NC(=C(C)C4=C(O)O)C=c4[nH]c(c(C)c4CC)=CC1=N2)C(CCC(=O)O)C3C,0.0,,
CC12CCC3C(=CCc4cc(OS(=O)(=O)O)ccc43)C1CCC2=O,0.0,,
CCn1nc(C)c2c1C(c1ccccc1)=NCC(=O)N2,0.0,,
O=C1CCCO1,0.0,,
CC1=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=CC1=N,0.0,,
C=Cc1cccc[n+]1[O-],0.0,,
O=[N+]([O-])c1ccc2nc[nH]c2c1,0.0,,
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,0.0,,
CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,0.0,,
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(N=C(N)N)cc2)cc1,0.0,,
CC1OC2(CS1)CN1CCC2CC1,0.0,,0.0
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,0.0,1.0,
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0.0,1.0,0.0
c1ccc2[nH]c(-c3cscn3)nc2c1,0.0,1.0,1.0
O=c1[nH]c(=O)n(C2CCCO2)cc1F,0.0,1.0,
O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,0.0,,
CCOC(=O)C1(c2ccccc2)CCC=CC1N(C)C,0.0,,
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,0.0,,0.0
NNc1nc(-c2ccccc2)cs1,0.0,,
C1N2CN3CN1CN(C2)C3,0.0,,
CC1CN(N=O)C(=O)NC1=O,0.0,,
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0.0,1.0,
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,0.0,1.0,
CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,0.0,,
O=C(O)CCCCC=C(c1ccccc1)c1cccnc1,0.0,,
CC(=O)OCC1OC(OC2(COC(C)=O)OC(COC(=O)C(C)C)C(OC(=O)C(C)C)C2OC(=O)C(C)C)C(OC(=O)C(C)C)C(OC(=O)C(C)C)C1OC(=O)C(C)C,0.0,,
c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,0.0,,
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0.0,,1.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,0.0,1.0,
C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,0.0,,
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.0,,
O=C1C(O)=C(O)OC1C(O)CO,0.0,,1.0
Cn1cc(OCC(O)CNC(C)(C)C)c2ccccc2c1=O,0.0,,
O=S(=O)(O)c1ccc(N=Nc2cc(S(=O)(=O)O)c3ccccc3c2O)c2ccccc12,0.0,,0.0
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,0.0,0.0,
CN1C2CCC1CC(NC(=O)c1cc(Cl)cc3c1OC(C)(C)C3)C2,0.0,,
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0.0,0.0,0.0
CN1CCCC1c1cccnc1,0.0,1.0,1.0
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,0.0,1.0,
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,0.0,,
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.0,1.0,
OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O,0.0,,
CN1CCCC1=O,0.0,,
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0.0,1.0,
COc1ccc([N+](=O)[O-])cc1NN=C1C(=O)C(C(=O)Nc2cccc([N+](=O)[O-])c2)=Cc2ccccc21,0.0,,
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0.0,1.0,
Cc1nnc2n1-c1sc(CCc3ccc(CC(C)C)cc3)cc1C(c1ccccc1Cl)=NC2C,0.0,,
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0.0,0.0,
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,0.0,,
O=C1CCC(=O)O1,0.0,,
Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,0.0,,1.0
CCCCCCCCC=CCCCCCCCC(=O)OCCOCC(OCCO)C1OC(OCCO)CC1OCCO,0.0,,
Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0.0,,
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,0.0,,
CN(C)CCN(Cc1ccsc1)c1ccccn1,0.0,,
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,0.0,1.0,
C1CCCNCCC1,0.0,,
c1ccc2n[nH]nc2c1,0.0,,
NC(Cc1c[nH]c2ccccc12)C(=O)O,0.0,0.0,
CC1=NN(c2ccccc2)C(=O)C1,0.0,1.0,
CCC1C(=O)OCC1Cc1cncn1C,0.0,0.0,0.0
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,0.0,,
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,0.0,,
CCN(CC)CCCNC(=O)Cn1ncc(-c2ccccc2)c1-c1ccccc1,0.0,,
NC(=O)NC1NC(=O)NC1=O,0.0,0.0,
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.0,1.0,
Nc1cnn(C2OC(CO)C(O)C2O)c(=O)n1,0.0,,
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.0,,1.0
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,0.0,1.0,
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C1c1cccc([N+](=O)[O-])c1,0.0,,
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,0.0,0.0,
CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.0,,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(OC(C)=O)CCC4C3CCC21C,0.0,1.0,
O=C(OOC(=O)c1ccccc1)c1ccccc1,0.0,0.0,
CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC,0.0,0.0,0.0
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,0.0,1.0,
C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,0.0,,
C1CC2OC2CC1C1CO1,0.0,,
CCNc1nc(Cl)nc(NCC)n1,0.0,,
