stdsmiles_v2,smiles_tautomer,carcino,dili,genotox
CCC(C(=O)NC(N)=O)c1ccccc1,CCC(C(=O)NC(N)=O)c1ccccc1,0.0,,
CN1C(=O)CC(C)(c2ccccc2)C1=O,CN1C(=O)CC(C)(c2ccccc2)C1=O,,0.0,
Nc1ccccc1Cl,Nc1ccccc1Cl,,,0.0
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(O)cc1,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(O)cc1,,1.0,
COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,,0.0,
CC(=O)CN(CC(C)=O)N=O,CC(=O)CN(CC(C)=O)N=O,1.0,,
NNc1nc(-c2ccc(N)cc2)cs1,NNc1nc(-c2ccc(N)cc2)cs1,1.0,,
CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,,1.0,
CCCCCC(N)=O,CCCCCC(N)=O,0.0,,
NC(=O)CCCCn1ccc(NC(N)=NCC(F)(F)F)n1,N=C(N=c1ccn(CCCCC(N)=O)[nH]1)NCC(F)(F)F,1.0,,
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,,0.0,
Clc1ccc(-c2cccc(Cl)c2Cl)c(Cl)c1,Clc1ccc(-c2cccc(Cl)c2Cl)c(Cl)c1,1.0,,
c1ccc(N=NNc2ccccc2)cc1,c1ccc(N=NNc2ccccc2)cc1,,,1.0
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,,0.0,0.0
O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,1.0,,
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,,0.0,
Nc1ccc(C(=O)O)cc1,Nc1ccc(C(=O)O)cc1,,0.0,
O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,,0.0,
CC(C)C(N)C(=O)OCCOCN1C=NC2C(=O)NC(N)=NC21,CC(C)C(N)C(=O)OCCOCN1C=NC2C(=O)N=C(N)NC21,,0.0,
CC(C)C=O,CC(C)C=O,0.0,,0.0
CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,,0.0,0.0
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,1.0,,
CN(N=O)c1ccc([N+](=O)[O-])cc1,CN(N=O)c1ccc([N+](=O)[O-])cc1,0.0,,
NCC1CC(OC2C(N)CC(N)C(O)C2OC2OC(CO)C(OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,NCC1CC(OC2C(N)CC(N)C(O)C2OC2OC(CO)C(OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,,0.0,
C=CCN(CCO)N=O,C=CCN(CCO)N=O,1.0,,
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,COC(=O)C1=C(C)N=C(C)C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,0.0,1.0,
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,,0.0,
CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,,0.0,
