stdsmiles_v2,smiles_tautomer,carcino,dili,genotox
C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,,0.0,
COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,,1.0,0.0
CCCCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCCCO,,,0.0
C=C1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(=O)C(=C(N)O)C(=O)C(N(C)C)C3C(O)C12,C=C1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12,,1.0,
OCC(O)CI,OCC(O)CI,,,0.0
C1CNCCN1,C1CNCCN1,0.0,0.0,0.0
S=c1nc[nH]c2nc[nH]c12,S=c1[nH]cnc2[nH]cnc12,0.0,1.0,1.0
CC(=O)Nc1ccc(S(=O)(=O)O)c2c1C(=O)C(=NNc1ccc(N=Nc3ccc(S(=O)(=O)O)cc3)c3ccc(S(=O)(=O)O)cc13)C(S(=O)(=O)O)=C2,CC(=O)Nc1ccc(S(=O)(=O)O)c2cc(S(=O)(=O)O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)O)cc4)c4ccc(S(=O)(=O)O)cc34)c(O)c12,0.0,,
CCC1(c2ccccc2)NC(=O)N(C)C1=O,CCC1(c2ccccc2)NC(=O)N(C)C1=O,,0.0,
O=C(Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1)C(F)(F)F,O=C(Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1)C(F)(F)F,1.0,,
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,,0.0,0.0
O=CC=CO,O=CCC=O,1.0,,
CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,,0.0,
CN(N=O)C(=O)c1c(N(C)N=O)ncn1C,CN(N=O)C(=O)c1c(N(C)N=O)ncn1C,1.0,,
NC(=O)CN1CCCC1=O,NC(=O)CN1CCCC1=O,,1.0,
O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,,0.0,
CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1,CC(=O)C(=NNc1ccc(-c2ccc(NN=C(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1,0.0,,
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,,0.0,
CN(C)P(=O)(N(C)C)N(C)C,CN(C)P(=O)(N(C)C)N(C)C,1.0,,1.0
COc1ccccc1OCC(O)COC(N)=O,COc1ccccc1OCC(O)COC(N)=O,,0.0,
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,,1.0,1.0
O=c1c(-c2ccccc2)coc2ccccc12,O=c1c(-c2ccccc2)coc2ccccc12,,0.0,
CN(N=O)C(=O)c1ccccc1C(=O)N(C)N=O,CN(N=O)C(=O)c1ccccc1C(=O)N(C)N=O,0.0,,
CN(N=O)c1cccnc1,CN(N=O)c1cccnc1,0.0,,
Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,,1.0,
O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.0,,1.0
NC(=O)Cc1c([O-])on[n+]1Cc1ccccc1,NC(=O)Cc1c([O-])on[n+]1Cc1ccccc1,1.0,,
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,,,1.0
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1,,1.0,0.0
COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,,1.0,
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,,1.0,
CC(O)COC(C)(C)C,CC(O)COC(C)(C)C,0.0,,1.0
O=NN(CCCl)C(=O)NC1CCCCC1,O=NN(CCCl)C(=O)NC1CCCCC1,,1.0,
O=c1nc[nH]c2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,0.0,,
S=C=NCCCc1ccccc1,S=C=NCCCc1ccccc1,0.0,,
CC1=CCC2CC1C2(C)C,CC1=CCC2CC1C2(C)C,,,0.0
C=CCN(CC=C)N=O,C=CCN(CC=C)N=O,1.0,,
CC1CC(=O)O1,CC1CC(=O)O1,1.0,,
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,,1.0,0.0
OCCN(CCO)CCO,OCCN(CCO)CCO,0.0,,
Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,,1.0,0.0
COC(N)=O,COC(N)=O,,,0.0
CN(C)CCOCCN(C)C,CN(C)CCOCCN(C)C,,,0.0
CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,0.0,,0.0
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,,0.0,
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,,,0.0
NCCCCCCCCCCC(=O)O,NCCCCCCCCCCC(=O)O,1.0,,0.0
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,,0.0,
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0.0,,
NC(=O)CCCCC(N)=O,NC(=O)CCCCC(N)=O,0.0,,
CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,,1.0,
O=C(NCN1CCOCC1)c1cnccn1,O=C(NCN1CCOCC1)c1cnccn1,,1.0,
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,1.0,,
Cc1ccc(C)c(C)c1,Cc1ccc(C)c(C)c1,1.0,,
CCCCN1C(=O)C(C(O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,CCCCN1C(=O)C(C(O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,,1.0,
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,,1.0,
CC(C)N=[N+]([O-])C(C)C,CC(C)N=[N+]([O-])C(C)C,1.0,,
C=CC1CO1,C=CC1CO1,,,1.0
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,0.0,0.0,
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,,1.0,0.0
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(Cc3sc(=O)[nH]c3O)cc1)O2,,1.0,0.0
C=C(C)C#N,C=C(C)C#N,0.0,,0.0
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,,1.0,
CC(=O)Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1,CC(=O)Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1,1.0,,
Cc1ccc(N(C)C)cc1,Cc1ccc(N(C)C)cc1,,,0.0
Oc1ccc(Br)cc1,Oc1ccc(Br)cc1,,1.0,
Nc1ccc(NCCO)c([N+](=O)[O-])c1,Nc1ccc(NCCO)c([N+](=O)[O-])c1,0.0,,
CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,,1.0,
CNCc1ccc(CSCCNC(=NCC(O)c2ccc(O)cc2)NS(C)(=O)=O)o1,CNCc1ccc(CSCCN=C(NCC(O)c2ccc(O)cc2)NS(C)(=O)=O)o1,0.0,,
COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1O,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1O,,0.0,
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,,0.0,0.0
Nc1nc(N)nc(-c2ccccc2)n1,Nc1nc(N)nc(-c2ccccc2)n1,0.0,,
O=NN1CSCSC1,O=NN1CSCSC1,0.0,,
CC1SC(C)N(N=O)C(C)S1,CC1SC(C)N(N=O)C(C)S1,1.0,,
NN=C(N)N,N=C(N)NN,,0.0,
CN(CCCl)CCCl,CN(CCCl)CCCl,1.0,0.0,1.0
CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,1.0,,
COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,,0.0,0.0
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,1.0,1.0,1.0
Nc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O,Nc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O,,0.0,
CSc1ccc(C(=O)C2NC(=O)N=C2C)cc1,CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,,0.0,
O=S(=O)(O)NC1CCCCC1,O=S(=O)(O)NC1CCCCC1,0.0,,
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,1.0,0.0,
CCNC1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CCNC1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,,,0.0
CNCCCN1c2ccccc2CCc2ccccc21,CNCCCN1c2ccccc2CCc2ccccc21,,0.0,
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,,0.0,
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,,1.0,0.0
NC(=O)N(CCCO)N=O,NC(=O)N(CCCO)N=O,1.0,,
Nc1nc(O)c(-c2ccccc2)o1,Nc1nc(O)c(-c2ccccc2)o1,0.0,1.0,
CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21,CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21,,1.0,1.0
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,,1.0,
CC(C)Cc1ccc(C(C)C(=O)O)cc1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.0,1.0,
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,1.0,1.0,
Nc1ccc(-c2ccc(N)cc2)cc1,Nc1ccc(-c2ccc(N)cc2)cc1,1.0,,1.0
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,1.0,,
Oc1ccc(Cl)cc1Cl,Oc1ccc(Cl)cc1Cl,0.0,,
CC1(C)SC2C(NC(=O)C3(N)CCCCC3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)C3(N)CCCCC3)C(=O)N2C1C(=O)O,,0.0,
CCc1ccc(C(C)CCc2ccc([N+](C)(C)C)cc2)cc1,CCc1ccc(C(C)CCc2ccc([N+](C)(C)C)cc2)cc1,,0.0,
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1.0,,
Cc1ccc2c(-c3cccc(O)c3)nc(=O)n(C(C)C)c2c1,Cc1ccc2c(-c3cccc(O)c3)nc(=O)n(C(C)C)c2c1,0.0,,
CCOC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,CCOC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,,1.0,
CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(N)=O)C(O)C5(CC)C=CCN6CCC43C65)C2)C1,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(N)=O)C(O)C5(CC)C=CCN6CCC43C65)C2)C1,,1.0,
CC(NN)c1ccccc1,CC(NN)c1ccccc1,,1.0,
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,,1.0,
CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21,CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21,,,0.0
CC(=O)OCC=C(C)CCC=C(C)C,CC(=O)OCC=C(C)CCC=C(C)C,0.0,,0.0
CCCCCCCCCCCCN=C(N)N,CCCCCCCCCCCCN=C(N)N,,,0.0
O=C1NC(=O)C(=O)C(=O)N1,O=C1NC(=O)C(=O)C(=O)N1,,0.0,
O=C(O)c1cc(N=Nc2ccc(-c3ccc(NN=c4c(=O)ccc(=NNc5cc(S(=O)(=O)O)ccc5O)c4=O)cc3)cc2)ccc1O,O=C(O)c1cc(N=Nc2ccc(-c3ccc(NN=c4c(=O)ccc(=NNc5cc(S(=O)(=O)O)ccc5O)c4=O)cc3)cc2)ccc1O,1.0,,
COC(=O)C1=CCCN(C)C1,COC(=O)C1=CCCN(C)C1,,,1.0
CCC=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1csc(N)n1,CCCC(C(=O)N=C1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1csc(N)n1,,1.0,
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,,1.0,1.0
CC1=CC(=O)CC(C)(C)C1,CC1=CC(=O)CC(C)(C)C1,1.0,,
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,,1.0,
O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,0.0,,
NNc1ccccc1,NNc1ccccc1,,,1.0
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,,0.0,
COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)=CC(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,,0.0,0.0
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O,,,0.0
Nc1ccc(Oc2ccc(N)cc2)cc1,Nc1ccc(Oc2ccc(N)cc2)cc1,1.0,,1.0
CC(C)=CCCC(C)=CC#N,CC(C)=CCCC(C)=CC#N,,,1.0
Brc1cc(Br)c(-c2cc(Br)c(Br)cc2Br)cc1Br,Brc1cc(Br)c(-c2cc(Br)c(Br)cc2Br)cc1Br,1.0,,
CN(C)C1C(O)=C(C(=O)NCN2CCCC2)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,CN(C)C1C(=O)C(C(=O)NCN2CCCC2)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,,0.0,
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,COC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc2nonc12,,1.0,0.0
COc1cc(OC)c2c3c(c(=O)oc2c1)C(=O)CC3,COc1cc(OC)c2c3c(c(=O)oc2c1)C(=O)CC3,0.0,,
NC(Cc1cnc[nH]1)C(=O)O,NC(Cc1c[nH]cn1)C(=O)O,0.0,,
CN(C)CCN(Cc1cccs1)c1ccccn1,CN(C)CCN(Cc1cccs1)c1ccccn1,1.0,1.0,
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,,0.0,
CC(C)(C)c1cc(CO)cc(C(C)(C)C)c1O,CC(C)(C)c1cc(CO)cc(C(C)(C)C)c1O,0.0,,
C=CC(C)(C)O,C=CC(C)(C)O,,,0.0
O=C1CC(=O)NC(=O)N1,O=c1cc(O)[nH]c(=O)[nH]1,0.0,,
S=C(SN1CCOCC1)N1CCOCC1,S=C(SN1CCOCC1)N1CCOCC1,1.0,,
c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,,1.0,
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1,,1.0,
C=CCOC(=O)CC(C)C,C=CCOC(=O)CC(C)C,1.0,,
O=P1(NCCCl)OCCCN1CCCl,O=P1(NCCCl)OCCCN1CCCl,1.0,1.0,1.0
O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1=NNc1ccc(S(=O)(=O)O)cc1,O=C(O)c1[nH]n(-c2ccc(S(=O)(=O)O)cc2)c(=O)c1N=Nc1ccc(S(=O)(=O)O)cc1,0.0,,
N=C(N)NCC1COC2(CCCCC2)O1,N=C(N)NCC1COC2(CCCCC2)O1,,0.0,
CC=C1CC(C)C(C)(O)C(=O)OCC2=CCN(C)CCC(OC1=O)C2=O,CC=C1CC(C)C(C)(O)C(=O)OCC2=CCN(C)CCC(OC1=O)C2=O,1.0,,
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)CCC3CCCC3)CCC12,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)CCC3CCCC3)CCC12,,0.0,
CCC(C(N)=O)N1CCCC1=O,CCC(C(N)=O)N1CCCC1=O,,1.0,0.0
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,,1.0,
CCNCC,CCNCC,,,0.0
COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,,1.0,1.0
CCC(Cl)CCC(Cl)C(Cl)CC(Cl)C(Cl)C(Cl)CCl,CCC(Cl)CCC(Cl)C(Cl)CC(Cl)C(Cl)C(Cl)CCl,1.0,,
Nc1cc(Cl)c(N)c(Cl)c1,Nc1cc(Cl)c(N)c(Cl)c1,0.0,,0.0
O=NN1CCCCCCCCCCCC1,O=NN1CCCCCCCCCCCC1,1.0,,
CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C,CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C,,1.0,0.0
O=P(OCCCl)(OCCCl)OCCCl,O=P(OCCCl)(OCCCl)OCCCl,1.0,,
C=CC(N)=O,C=CC(N)=O,1.0,,1.0
Nc1ccc(C(=O)NCC(=O)O)cc1,Nc1ccc(C(=O)NCC(=O)O)cc1,,0.0,
COc1c2occc2c(OC)c2c(=O)cc(C)oc12,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,,0.0,
COc1ccccc1OCC(O)CO,COc1ccccc1OCC(O)CO,,0.0,
Nc1cc(Cl)cc(C(=O)O)c1Cl,Nc1cc(Cl)cc(C(=O)O)c1Cl,0.0,,
Nc1ccc(-c2ccc(N)c(N)c2)cc1N,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,1.0,,
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,,1.0,
CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1,CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1,0.0,,
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,0.0
Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,,1.0,
CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C(O)C1O,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C(O)C1O,,0.0,
O=Cc1ccccc1,O=Cc1ccccc1,0.0,,
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,,0.0,0.0
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,,1.0,
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,1.0,,1.0
CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CSC12)c1csc(N)n1,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CSC12)c1csc(N)n1,,,0.0
Nc1ccc(N)c([N+](=O)[O-])c1,Nc1ccc(N)c([N+](=O)[O-])c1,0.0,,
CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(C)Cl,CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(C)Cl,0.0,,
Cc1cc(=O)[nH]c(=S)[nH]1,Cc1cc(=O)[nH]c(=S)[nH]1,1.0,,
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,,0.0,
NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,,0.0,0.0
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,,1.0,0.0
Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,0.0,,
Oc1nc(O)c2cn[nH]c2n1,O=c1[nH]c(=O)c2c[nH]nc2[nH]1,,0.0,
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,,0.0,
