草药名称,成分集合,靶点集合,特征集合,毒性标签
黄独零余子,C0053;C0073;C0084;C0119;C0133;C0156;C0157;C0188;C0189;C0208;C0262;C0285;C0291;C0332;C0352;C0377;C0391;C0416;C0467;C0476;C0478;C0504;C0523;C0526;C0528;C0636;C0697;C0731;C0771;C0853;C0919;C1166;C1178;C1180;C1203;C1209;C1231;C1245,T00CXT;T00EP2;T00H7Q;T00T9M;T01CL0;T01E7W;T01FVG;T01IGB;T01QLH;T02GD4;T02H9U;T02M5I;T02O3F;T02QBS;T02WMA;T03CZ8;T03VS9;T03YAI;T04A6O;T04H8Y;T04HXV;T04TWI;T04UTZ;T04V7K;T04WT7;T05RAA;T05WWN;T06MQM;T06RMZ;T06VX0;T07NML;T07TMB;T07VJT;T07VV7;T08DOL;T08Q7W;T08SJX;T09AAD;T09DI4;T09H2Z;T09INZ;T09KPZ;T09KQF;T10HL8;T10ICM;T10S5F;T11BI7;T11ZYR;T12PIB;T12T4H;T13KGH;T14ENF;T14JZK;T14LSK;T14V3E;T16A2X;T16DCZ;T16MRU;T16OQ5;T16X77;T17CNB;T17CZC;T17UP9;T18CUI;T18DUA;T19CUN;T20H9F;T20JZ2;T20RA0;T21DZX;T21Q0D;T22H8P;T22IMH;T22NX4;T22OPB;T23EWB;T23KDW;T23LHE;T23P74;T23VMI;T23WMS;T24C0P;T24LXT;T24U57;T24YWQ;T25H22;T25NSJ;T25Y64;T26EZU;T26KIE;T27U96;T28EY5;T29B10;T29JA7;T29MD1;T30L86;T30VNV;T31G6V;T31JWV;T31MUM;T31RKU;T31SX8;T31U13;T32KN9;T32UNL;T33OPP;T33OSQ;T34DZ7;T34FQX;T34HYH;T34Y7V;T36HAE;T36SOV;T36YWU;T37ADS;T37G49;T37JN5;T37VLU;T37WQE;T38BR0;T38EQ6;T38J3Y;T38K2W;T38OH4;T38OQ4;T38T1U;T38WWN;T39FBA;T39RV3;T39YUJ;T41A4Y;T41CZ3;T41INV;T41TXS;T41Z8G;T42EAZ;T42PUG;T43G0N;T43LYL;T43N2D;T44KU9;T44LWL;T45G32;T46AQJ;T46K2X;T46YMA;T47H3O;T47WT6;T48XM4;T49ORJ;T49PL1;T49TDM;T50SJ8;T50SX0;T50VJF;T50WOV;T51EKP;T51IKV;T51K6D;T51U9M;T52CKD;T52T5O;T53AOE;T53ES3;T53YWQ;T54CIF;T54G8J;T54N7G;T54RF5;T54SZZ;T54VQA;T54X6V;T55EFK;T56OUM;T56TXY;T57GP2;T57HGP;T57L0X;T58J2Y;T58XLK;T59IKQ;T60KJ1;T60UPF;T60XS5;T61DYZ;T61OY3;T61QXV;T62ERY;T63BQU;T63DP6;T63GUB;T63YAO;T64BPL;T64BTV;T64F54;T64UH1;T64W2K;T64X48;T65JYL;T65S3S;T66BXF;T66LSN;T66S13;T67HAF;T67JME;T67JR8;T67MQU;T67X1L;T67ZT3;T68BGR;T68IZC;T68OIU;T68SE0;T68XXK;T69NG6;T69RXK;T69XVX;T70B7U;T70HTD;T70KPE;T70LAB;T70OGQ;T70SFS;T71BDH;T71GRQ;T71K92;T72BXP;T73EVE;T73LPO;T74I49;T74JJN;T74LFK;T74P7I;T74QOR;T74QXI;T74V1Z;T75B9S;T75H3W;T75HMM;T76AZQ;T76CGR;T76QBQ;T76TED;T77FOL;T77M4W;T77NHP;T77PFO;T77TY2;T77UWH;T78EXU;T78ILO;T78VUO;T78ZF2;T79KQO;T79UQC;T79WXA;T80GUN;T80OJF;T80OPZ;T80TUC;T80WPU;T81I4T;T81MSV;T81X6W;T82ALJ;T82G5G;T82JWE;T82S6C;T83DDX;T83QHM;T83YZD;T84CEG;T84P70;T84TJB;T84W8G;T85AXP;T85JI5;T85U8U;T86O9J;T86ROZ;T87DEX;T87QUW;T87WYU;T88AJI;T88B8X;T88BCB;T88QQE;T88TDZ;T89GFN;T89L4V;T90QV5;T90XYZ;T90ZKN;T91EAB;T91KTQ;T91MKC;T91OUC;T91T8I;T92BZ2;T92UWJ;T93NTV;T93R42;T93SFQ;T93VFT;T93WZG;T94H37;T94S85;T94YOD;T95H9O;T95IYZ;T96N1K;T96OOK;T97ESI;T97FEF;T97VB6;T98DNG;T98RXH;T99XQ3,0;1;2;4;15;59,"0.0,0.0,0.0,1.0,1.0"
丁香,C0039;C0063;C0064;C0082;C0090;C0148;C0164;C0188;C0229;C0262;C0263;C0352;C0368;C0416;C0447;C0476;C0479;C0504;C0523;C0528;C0547;C0548;C0613;C0619;C0880;C0905;C1162;C1203;C1242,T00CXT;T00EP2;T00H7Q;T00RT4;T00T9M;T01CL0;T01E7W;T01FVG;T01IGB;T01QLH;T02DEN;T02GD4;T02JCT;T02M5I;T02QBS;T02WMA;T02YLA;T03CZ8;T03NWF;T03TJ0;T03VS9;T03YAI;T04A6O;T04H8Y;T04HXV;T04TWI;T04UTZ;T04V7K;T05RAA;T05WWN;T06MQM;T06Q1R;T06RMZ;T06VX0;T07NML;T07S0E;T07TMB;T07VO1;T08B2M;T08DOL;T08Q7W;T09AAD;T09DI4;T09H2Z;T09INZ;T09KPZ;T10HL8;T10I26;T10IWJ;T10KMJ;T10S5F;T11BI7;T11ZYR;T12PIB;T12T4H;T12WTT;T13KGH;T13QI6;T14AON;T14DX3;T14JSQ;T14JSX;T14JZK;T14LSK;T16A2X;T16DCZ;T16MRU;T16OQ5;T16UZ4;T17CNB;T17CZC;T17UP9;T18DUA;T18LX5;T19CUN;T19EKF;T19K8W;T19XSL;T20H9F;T20IHC;T20JZ2;T20QNR;T20VPX;T21DZX;T21EGX;T21K0F;T21Q0D;T22IMH;T22J9V;T22OPB;T23APZ;T23KDW;T23LHE;T23P74;T23VMI;T23WMS;T23YZF;T24CYX;T24LXT;T24U57;T25H22;T25M2J;T25NSJ;T25Y64;T26EZU;T26KIE;T27U96;T28EY5;T29B10;T29JA7;T29MD1;T30L86;T30VNV;T31EJG;T31G6V;T31JWV;T31RKU;T31SX8;T31U13;T31VDH;T31ZFD;T32HPO;T32KN9;T32SPJ;T33OPP;T33UEM;T34DZ7;T34FQX;T34HYH;T34Y7V;T35QZO;T36NQ9;T36SOV;T37ADS;T37BP1;T37VLU;T37WQE;T37WY2;T38BR0;T38EQ6;T38K2W;T38OH4;T38T1U;T38WWN;T39FBA;T39M6J;T39YFG;T39YUJ;T40B7E;T40EUL;T40G6B;T41INV;T41TXS;T42EAZ;T42FMQ;T42PUG;T43G0N;T43LYL;T43N2D;T43NBB;T44LWL;T45G32;T46AQJ;T46K2X;T46YMA;T47H3O;T47WT6;T48TW0;T48UT8;T48XM4;T48YPL;T49ORJ;T49PL1;T49TDM;T50SJ8;T50SX0;T50VJF;T50WOV;T51IKV;T51K6D;T51U9M;T51WGR;T52CKD;T52T5O;T52VL6;T53AOE;T53ES3;T53SLQ;T53YWQ;T54CIF;T54G8J;T54N7G;T54OSZ;T54RF5;T54SZZ;T54VET;T54VQA;T54WR0;T54X6V;T55EFK;T56TXY;T57GP2;T57HGP;T57L0X;T58J2Y;T58XLK;T59IKQ;T60KJ1;T60XJI;T60XS5;T61DYZ;T61OY3;T61QXV;T62F1Y;T62P0D;T63BQU;T63DP6;T63FF5;T63FNY;T63GUB;T63YAO;T64BPL;T64BTV;T64UH1;T64W2K;T64X48;T65JYL;T65S3S;T66BXF;T66WWM;T67HAF;T67HYX;T67JME;T67JR8;T67KTV;T67LRH;T67MQU;T67RBZ;T67X1L;T67ZT3;T68AKE;T68B5V;T68BGR;T68CKY;T68OIU;T68SE0;T68XXK;T69NG6;T69RXK;T69XVX;T70HTD;T70KPE;T70LAB;T70OGQ;T70SFS;T70YKV;T71BDH;T71GRQ;T71K92;T72BXP;T73EVE;T73LPO;T74I49;T74JJN;T74QOR;T74QXI;T74WWP;T75B9S;T75EH8;T75H3W;T75HMM;T76CGR;T76EHP;T77FOL;T77M4W;T77PFO;T77UWH;T77W6N;T78C6N;T78EXU;T78ILO;T78VUO;T78ZF2;T79KQO;T79UQC;T79WXA;T80GUN;T80OJF;T80OPZ;T80TUC;T81BH5;T81I4T;T81MSV;T82ALJ;T82JWE;T82S6C;T83QHM;T83YZD;T84CEG;T84P70;T84TJB;T84W8G;T85AXP;T85JI5;T85U8U;T86O9J;T86ROZ;T87DEX;T87WYU;T88AJI;T88B8X;T88BCB;T88LSZ;T88QQE;T88TDZ;T89L4V;T90ORW;T90QV5;T90XYZ;T90ZKN;T91EAB;T91KTQ;T91MKC;T91OUC;T91W8B;T92BZ2;T92Q77;T92X7D;T93NTV;T93R42;T93SFQ;T93VFT;T93WZG;T94H37;T94S85;T94YOD;T95H9O;T95IYZ;T95LIF;T95Y0K;T96OOK;T97ESI;T97FEF;T97KL5;T98QOA;T98RXH;T99ARN;T99XQ3,0;2;15;20;36,"0.0,0.0,0.0,1.0,1.0"
黄药子,C0073;C0102;C0133;C0151;C0154;C0156;C0188;C0189;C0190;C0214;C0219;C0221;C0231;C0250;C0258;C0259;C0263;C0285;C0335;C0352;C0377;C0392;C0416;C0423;C0455;C0478;C0487;C0504;C0522;C0523;C0528;C0839;C1173;C1178;C1200;C1202;C1203;C1206;C1214;C1231,T00CXT;T00EP2;T00H7Q;T00T9M;T01CL0;T01E7W;T01FVG;T01IGB;T01QLH;T02DEN;T02H9U;T02IOG;T02M5I;T02QBS;T02WMA;T02YLA;T03CZ8;T03NWF;T03VS9;T03YAI;T04AHN;T04H8Y;T04HXV;T04TWI;T04V7K;T04WT7;T05O6O;T05RAA;T05TS9;T05WWN;T06MQM;T06Q1R;T06RMZ;T06VX0;T07NML;T07S0E;T07TMB;T07VV7;T08DOL;T08Q7W;T08SJX;T08U92;T09AAD;T09DI4;T09H2Z;T09INZ;T09KPZ;T10HL8;T10S5F;T11BI7;T11ZYR;T12BGL;T12PIB;T12T4H;T13KGH;T14BVD;T14ENF;T14JSX;T14JZK;T15P3B;T16A2X;T16MRU;T16OQ5;T16Q09;T17CNB;T17CZC;T17E49;T17UP9;T18CUI;T18DUA;T19CUN;T19EKF;T19K8W;T19XSL;T20H9F;T20JZ2;T20RA0;T21DZX;T21Q0D;T22H8P;T22NX4;T22OPB;T22XVR;T23APZ;T23KDW;T23LHE;T23P74;T23VMI;T23WMS;T23YZF;T24C0P;T24LXT;T24U57;T24YWQ;T25H22;T25NSJ;T25Y64;T26EZU;T26KIE;T27BN7;T28EY5;T29B10;T29JA7;T29MD1;T29TYJ;T29WP4;T30D9G;T30L86;T30VNV;T31G6V;T31JL4;T31JWV;T31MUM;T31RKU;T31SX8;T31U13;T32HPO;T33OPP;T34DZ7;T34HYH;T34Y7V;T35QZO;T36SOV;T36U0M;T37ADS;T37G49;T37JN5;T37VLU;T38EQ6;T38J3Y;T38K2W;T38OQ4;T38T1U;T38WWN;T39FBA;T39RV3;T39YFG;T40JMU;T40KDU;T41INV;T41TXS;T41ZO1;T42D4V;T42EAZ;T42PUG;T43BTC;T43G0N;T43LYL;T43N2D;T43NBB;T44KU9;T44LWL;T46AQJ;T46K2X;T46YMA;T47H3O;T47WT6;T48TW0;T48UT8;T48XM4;T48YPL;T49J7I;T49ORJ;T49PL1;T49TDM;T50SJ8;T50SX0;T50VJF;T50WOV;T51EKP;T51IKV;T51K6D;T51U9M;T51WGR;T52CKD;T52S7S;T52T5O;T52VL6;T53AOE;T53SLQ;T53YWQ;T54CIF;T54G8J;T54N7G;T54RF5;T54SZZ;T54VQA;T54WR0;T54X6V;T55EFK;T55WN8;T56OUM;T56TXY;T57GP2;T57HGP;T57L0X;T58J2Y;T58XLK;T59IKQ;T60KJ1;T60UPF;T60XS5;T61DYZ;T61HH0;T61QXV;T62ERY;T62P0D;T63BQU;T63DP6;T63GUB;T63YAO;T64BPL;T64BTV;T64QZQ;T64UH1;T64W2K;T65JYL;T65S3S;T66BXF;T66S13;T67HAF;T67HYX;T67JME;T67JR8;T67KTV;T67LRH;T67MQU;T67RBZ;T67X1L;T67ZT3;T68BGR;T68EEP;T68IZC;T68OIU;T68SE0;T68W7Y;T69NG6;T69RXK;T69XVX;T70HC9;T70HTD;T70LAB;T70SFS;T70U24;T70VMI;T71BDH;T71GRQ;T71K92;T73LPO;T74I49;T74JJN;T74LFK;T74QXI;T74WWP;T75B9S;T75EH8;T75H3W;T75HMM;T76AZQ;T76CGR;T76NQY;T76QBQ;T76TED;T77FOL;T77M4W;T77PFO;T77TY2;T77UWH;T78EXU;T78ILO;T78VUO;T78ZF2;T79KQO;T79UQC;T79WXA;T80GUN;T80OJF;T80TUC;T80WPU;T80XW6;T81I4T;T81MSV;T82ALJ;T82JWE;T82S6C;T83DDX;T83QHM;T83YZD;T84CEG;T84P70;T84TJB;T84W8G;T85AXP;T85JI5;T85U8U;T86O9J;T86ROZ;T87DEX;T87QUW;T87WYU;T88A0X;T88AJI;T88B8X;T88BCB;T88TDZ;T89K3V;T89L4V;T89LO8;T90QV5;T90XYZ;T91EAB;T91KTQ;T91MKC;T91OUC;T91T8I;T92BZ2;T93NTV;T93R42;T93SFQ;T93VFT;T93WZG;T93YV8;T94H37;T94S85;T94YOD;T95IYZ;T96OOK;T97ESI;T97FEF;T97KFC;T98DNG;T99XQ3,1;4;11;33;60,"1.0,0.0,0.0,0.0,1.0"
红娘子,C0090;C0164;C0232;C0352;C0482;C0880;C0931;C1178;C1203;C1220;C1236;C1241,T00CXT;T00EP2;T00H7Q;T00T9M;T01CL0;T01E7W;T01FVG;T01IGB;T02GD4;T02IOG;T02M5I;T02OOS;T02P7Q;T02QBS;T02WMA;T03CZ8;T03TJ0;T03VS9;T03YAI;T04H8Y;T04HXV;T04TWI;T05RAA;T05WWN;T06MQM;T06MXL;T06RMZ;T06VX0;T07NML;T07TMB;T07VO1;T08B2M;T08DOL;T08Q7W;T09AAD;T09DI4;T09H2Z;T09ICL;T09INZ;T09KPZ;T10HL8;T10IWJ;T11BI7;T11R4S;T11ZYR;T12PIB;T12T4H;T13KGH;T14DX3;T14ENF;T14JSQ;T14JZK;T16A2X;T16MRU;T16OQ5;T16UZ4;T17CNB;T17CZC;T17UP9;T18DUA;T19CUN;T19T97;T20IHC;T20JZ2;T21DZX;T21EGX;T21Q0D;T21T2E;T22H7B;T22OPB;T23KDW;T23LHE;T23P74;T23VMI;T23WMS;T24G2P;T24LXT;T24U57;T25H22;T25NSJ;T25S8M;T25Y64;T26EZU;T26KIE;T26TBJ;T27U96;T28EY5;T28HOM;T29B10;T29JA7;T29MD1;T30D9G;T30KQB;T30L86;T30VNV;T31G6V;T31JWV;T31RKU;T31SX8;T31U13;T31VDH;T32ECR;T32EIL;T32SPJ;T33OPP;T33UEM;T34DZ7;T34HYH;T34I45;T34Y7V;T35QZO;T36SOV;T37ADS;T37VLU;T38EQ6;T38K2W;T38T1U;T38WWN;T39FBA;T40B7E;T40G6B;T40JZG;T40LTN;T41INV;T41TXS;T42EAZ;T42PUG;T42XY2;T43G0N;T43LYL;T43N2D;T44LWL;T46AQJ;T46K2X;T46YMA;T47H3O;T47MPW;T47WT6;T48XM4;T49FZB;T49ORJ;T49PL1;T49TDM;T49XOZ;T50E9D;T50SJ8;T50SX0;T50V79;T50VJF;T50WOV;T51IKV;T51K6D;T52CKD;T52T5O;T53AOE;T53RK9;T54CIF;T54G8J;T54N7G;T54OSZ;T54RF5;T54SZZ;T54VQA;T54X6V;T55EFK;T56MD7;T56TXY;T56VPC;T57GP2;T57L0X;T58J2Y;T59IKQ;T60KJ1;T60XS5;T61DYZ;T61QXV;T63BQU;T63DP6;T63FNY;T63GUB;T63YAO;T64BPL;T64BTV;T64F54;T64UH1;T64W2K;T65JYL;T65S3S;T66BXF;T66WWM;T67HAF;T67JME;T67JR8;T67MQU;T67X1L;T67ZT3;T68BGR;T68OIU;T68SE0;T69NG6;T69RXK;T69XVX;T70HTD;T70HU8;T70LAB;T70SFS;T70YKV;T71B0A;T71BDH;T71GRQ;T71K92;T73LPO;T74I49;T74JJN;T74QXI;T75B9S;T75H3W;T75HMM;T76CGR;T77SWL;T77UWH;T78C6N;T78EXU;T78ILO;T78VUO;T78ZF2;T79KQO;T79UQC;T79WXA;T80GUN;T80OJF;T80TUC;T81BH5;T81I4T;T81MSV;T82ALJ;T82JWE;T82S6C;T83P5X;T83QHM;T83YZD;T84CEG;T84P70;T84TJB;T84W8G;T85AXP;T85JI5;T85U8U;T86O9J;T86ROZ;T86UXL;T87CV3;T87DEX;T87WYU;T88AJI;T88B8X;T88BCB;T88TDZ;T89GFN;T90QV5;T90XYZ;T91EAB;T91KTQ;T91MKC;T91OUC;T92BZ2;T92LEW;T92Q77;T93NTV;T93R42;T93SFQ;T93VFT;T93W1J;T93WZG;T94H37;T94S85;T94YOD;T95IYZ;T96ABY;T96OOK;T97ESI;T97FEF;T97KL5;T98RXH;T99ARN;T99EYH;T99W15;T99XQ3,8;20;30;60;185;222;293,"0.0,0.0,1.0,0.0,0.0"
鸦胆子,C0077;C0090;C0189;C0199;C0263;C0285;C0416;C0478;C0479;C0520;C0622;C0745;C0786;C1092;C1181;C1197,T01E7W;T01QLH;T02DEN;T02GD4;T02H9U;T02YLA;T03NWF;T03TJ0;T04H8Y;T04V7K;T06IYF;T06PVX;T06RMZ;T06VX0;T06YQX;T07S0E;T07TMB;T07VV7;T08B2M;T08Q7W;T08VHE;T09H2Z;T09INZ;T10HL8;T10S5F;T12T4H;T13KGH;T14JSX;T14LSK;T16A2X;T16UZ4;T17UP9;T18CWB;T19EKF;T19K8W;T19XSL;T20H9F;T20IHC;T21DZX;T21Q0D;T22H8P;T22NX4;T22OPB;T23APZ;T23P74;T23VMI;T23YZF;T24LXT;T24YWQ;T25M2J;T25NSJ;T26KIE;T27M4K;T29B10;T29MD1;T30VNV;T31EJG;T31MUM;T31VDH;T32HPO;T32R5L;T32SPJ;T33OPP;T33UEM;T34HYH;T35LKG;T35QZO;T36SOV;T37G49;T37JN5;T37VLU;T38BR0;T38K2W;T38O11;T38T1U;T38WWN;T39M6J;T39YFG;T40G6B;T41BXR;T41DXP;T42EAZ;T43N2D;T43NBB;T44LWL;T45G32;T47H3O;T47HTN;T48UT8;T48YPL;T49ORJ;T49TDM;T50V79;T50WOV;T51EKP;T51IKV;T51U9M;T51WGR;T52ARL;T52T5O;T52VL6;T52YQN;T53SLQ;T54G8J;T54WR0;T56OUM;T58J2Y;T58XLK;T60B3R;T60GGR;T62P0D;T62UOD;T62Y4H;T63BQU;T63GUB;T64UH1;T64W2K;T66WWM;T67CB6;T67HYX;T67KTV;T67LRH;T67RBZ;T67ZT3;T68AKE;T68DAN;T68IZC;T68SE0;T69NG6;T70KPE;T71BDH;T71K92;T73LPO;T74I49;T74JJN;T74QXI;T74WWP;T75EH8;T75H3W;T75HMM;T76QBQ;T76TED;T77FOL;T77M4W;T77PFO;T78ILO;T78IOY;T78O6C;T79KQO;T79WXA;T80GUN;T80OJF;T80TUC;T80WPU;T81BH5;T81R79;T82JWE;T83YZD;T85NRC;T85U8U;T86ROZ;T87DEX;T88AJI;T88B8X;T88TDZ;T89L4V;T90SGJ;T90XYZ;T91AIW;T92AMR;T92HNO;T93VFT;T93WZG;T96OOK;T97FEF;T97KL5;T98DNG;T98QOA;T99XQ3,10;22;85;180,"0.0,0.0,1.0,1.0,0.0"
麻疯树,C0886,T05AAL;T08KXM;T24C0P;T34X07;T72KIO;T84W8G;T96OOK,2;4;5;8;15;39,"1.0,1.0,0.0,1.0,1.0"
山道年蒿,C0476;C0653;C1201,T00CXT;T01QLH;T02GD4;T04A6O;T04H8Y;T04MBA;T04UTZ;T06RMZ;T08Q7W;T08U92;T09H2Z;T10HL8;T10S5F;T12PIB;T13WH4;T14LSK;T15I0F;T16DCZ;T19BO9;T20H9F;T22IMH;T23P74;T23VMI;T24U57;T25NSJ;T26KIE;T27S6H;T27U96;T30D9G;T32KN9;T33OPP;T34AW3;T34FQX;T37WQE;T38BR0;T38OH4;T38T1U;T39YUJ;T42EAZ;T43N2D;T44BWE;T44LWL;T45G32;T48K08;T49ORJ;T49TDM;T50SX0;T50WOV;T53ES3;T57HGP;T57L0X;T58J2Y;T58XLK;T59IKQ;T61OY3;T63GUB;T64BTV;T64UH1;T64W2K;T64X48;T68XXK;T70OGQ;T71K92;T72BXP;T73EVE;T74I49;T74JJN;T74QOR;T75B9S;T75H3W;T75HMM;T77FOL;T79KQO;T79WXA;T80GUN;T80OJF;T80OPZ;T80TUC;T82JWE;T83YZD;T85U8U;T86ROZ;T88QQE;T88TDZ;T90ZKN;T91OUC;T92BZ2;T93WZG;T94AGC;T95H9O;T96OOK,1;8;16;19;78,"1.0,1.0,1.0,1.0,0.0"
藜芦,C0009;C0302;C0312;C0382;C0514;C0519;C0588;C1216;C1238,T02M5I;T06RMZ;T08Q7W;T08VQQ;T09H2Z;T09INZ;T10HL8;T13KGH;T20JZ2;T22NX4;T31MUM;T33OSQ;T34OSI;T42PUG;T43NBB;T43R3A;T44LWL;T49TDM;T64BPL;T71BDH;T74QXI;T76AZQ;T82ALJ;T82G5G;T84FSA;T86ROZ;T88TDZ;T92BZ2;T96OOK;T97FEF,1;8;10;13;56;57;137,"0.0,0.0,0.0,1.0,0.0"
川贝母,C0113;C0144;C0198;C0199;C0291;C0352;C0471;C0476;C0569;C0671;C0863;C0914;C1179,T00CXT;T00EP2;T00H7Q;T00KKS;T00T99;T00T9M;T01CL0;T01E7W;T01FVG;T01HJQ;T01IGB;T01QLH;T02GD4;T02M5I;T02QBS;T02WMA;T03CZ8;T03VS9;T03YAI;T04A2Q;T04A6O;T04H8Y;T04HXV;T04TWI;T04UTZ;T05PKX;T05RAA;T05V67;T05WWN;T06ADX;T06IYF;T06MQM;T06PVX;T06RMZ;T07TMB;T08DOL;T08Q7W;T09AAD;T09DI4;T09H2Z;T09KPZ;T10HL8;T10ICM;T10S5F;T11BI7;T11GHO;T11TKN;T12PIB;T12T4H;T13KGH;T14JZK;T14LSK;T14R01;T16A2X;T16CFE;T16DCZ;T16MRU;T16OQ5;T16UZ4;T17CNB;T17CZC;T17UP9;T18DUA;T19CUN;T20H9F;T20JZ2;T20RA0;T20TPU;T21CMG;T21DZX;T21S10;T22I6G;T22IMH;T22OPB;T23KDW;T23LHE;T23P74;T23VMI;T23WMS;T24LXT;T24U57;T25H22;T25M2J;T25NSJ;T25RTY;T25S1M;T26EZU;T26KIE;T27LTU;T27U96;T28EY5;T29B10;T29JA7;T29MD1;T30L86;T30VNV;T31G6V;T31JWV;T31RKU;T31SX8;T31U13;T32KN9;T32PI2;T32R5L;T32UNL;T33OPP;T33OSQ;T34DZ7;T34FQX;T34HYH;T34Y7V;T35LKG;T35QZO;T36SOV;T37ADS;T37VLU;T37WQE;T38BR0;T38EQ6;T38K2W;T38O11;T38OH4;T38T1U;T38WWN;T39FBA;T39M6J;T39YUJ;T40DIM;T40JZG;T40XWM;T41BXR;T41BYM;T41DXP;T41INV;T41TXS;T42D4V;T42EAZ;T42K6K;T42PUG;T42XY2;T43G0N;T43LYL;T43N2D;T43Y5O;T44LWL;T44S1A;T45G32;T46AQJ;T46K2X;T47DYR;T47H3O;T47HTN;T47WT6;T48DAP;T48XM4;T49ORJ;T49PL1;T49TDM;T50GQE;T50SJ8;T50SX0;T50V79;T50VJF;T50WOV;T51IKV;T51K6D;T52CKD;T52RGZ;T52T5O;T53AOE;T53ES3;T54CIF;T54G8J;T54N7G;T54RF5;T54SZZ;T54VQA;T55EFK;T55IBP;T57GP2;T57HGP;T57L0X;T58H37;T58J2Y;T58XLK;T59IKQ;T60B3R;T60GGR;T60KJ1;T60XS5;T61DYZ;T61OY3;T61QXV;T62FNY;T62QDU;T62UOD;T62USB;T62Y4H;T63BQU;T63DP6;T63GUB;T63YAO;T64BPL;T64BTV;T64UH1;T64W2K;T64X48;T65JYL;T65S3S;T66BXF;T66WWM;T67CB6;T67HAF;T67JME;T67JR8;T67MQU;T67X1L;T67ZT3;T68AKE;T68DAN;T68HNO;T68OIU;T68SE0;T68WYW;T68XXK;T69NG6;T69X4A;T69XVX;T70HTD;T70LAB;T70OGQ;T71BDH;T71GRQ;T71K92;T72BXP;T73EVE;T73LPO;T74D4Y;T74ETU;T74I49;T74JJN;T74P7I;T74QOR;T74QXI;T75B9S;T75H3W;T75HMM;T76CGR;T77FOL;T77M4W;T77O2V;T77UWH;T78EXU;T78ILO;T78IOY;T78O6C;T78VUO;T78ZF2;T79KQO;T79UQC;T79WXA;T80GUN;T80OJF;T80OPZ;T80TUC;T81I4T;T81MSV;T82ALJ;T82JWE;T82S6C;T83QHM;T83SXS;T83YZD;T84CEG;T84P70;T84TJB;T84W8G;T85AXP;T85CC2;T85JI5;T85U8U;T86J48;T86MX7;T86O9J;T86ROZ;T86UXL;T87AXU;T87DEX;T87WMV;T87WYU;T88AJI;T88B8X;T88BCB;T88LSZ;T88QQE;T88TDZ;T89GCM;T89L4V;T90ORW;T90QV5;T90XYZ;T90ZKN;T91AIW;T91EAB;T91KTQ;T91MKC;T91OUC;T91T8I;T92AMR;T92BZ2;T92HNO;T92UBJ;T93NTV;T93SFQ;T93WZG;T94H37;T94S85;T94VM4;T94YOD;T95H9O;T95IYZ;T95K8Q;T95Y0K;T96G89;T96OOK;T97ESI;T97FEF;T98FWP;T99XQ3,16;60,"0.0,0.0,0.0,1.0,0.0"
冲天果,C0107;C0679;C0694;C0696;C0735;C0806,T11BI7;T12T4H;T15EJV;T17FIA;T18CPB;T23VMI;T25NSJ;T27ST0;T36QDK;T39KQU;T43NBB;T47FOG;T49TDM;T58J2Y;T59NBL;T64BTV;T65CYN;T71K92;T74OAM;T79WXA;T85U8U;T86W77;T92HNO;T95IYZ,0;12;16;60;130,"0.0,1.0,0.0,0.0,0.0"
